iter	Passed	Remaining
359	4789	8514
360	4803	8502
361	4825	8504
362	4839	8492
363	4850	8474
364	4862	8460
365	4874	8444
366	4884	8425
367	4893	8403
368	4902	8384
369	4912	8365
370	4923	8348
371	4933	8328
372	4942	8308
373	4951	8287
374	4961	8269
375	4969	8247
376	4978	8227
377	4989	8210
378	4999	8192
379	5009	8172
380	5018	8153
381	5027	8132
382	5035	8111
383	5043	8091
384	5056	8077
385	5070	8065
386	5079	8045
387	5089	8027
388	5098	8008
389	5109	7991
390	5118	7971
391	5125	7950
392	5133	7929
393	5142	7909
394	5150	7888
395	5160	7870
396	5169	7851
397	5182	7838
398	5192	7821
399	5201	7801
400	5208	7780
401	5217	7761
402	5226	7742
403	5233	7720
404	5243	7703
405	5253	7685
406	5262	7666
407	5271	7648
